id,predicted_restatement,introduced_terms
item_1bc661fd8c58df73,the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the,action;calculating;commandline;de;every;keep;performance;polar;presentation;reduce;related;statement;triangles
item_cbe5a5c8365b9bf9,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,commandline;de;decided;every;keep;nine;performance;polar;presentation;reduce;statement;template;triangles
item_ff31b53ef0221fc0,all all all all all all all all all all all all all all all all all all all all all all all all all all all all all all all all all all all all all all all all all all all all all all all all all all all all all all,action;calculating;commandline;comparing;de;every;explanation;keep;performance;presentation;produced;recall;reduce
item_607422886df705c2,to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to,action;commandline;de;few;identifiers;keep;performance;polar;presentation;reduce;statement;suited;triangles
item_468115d37b883eac,the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the,commandline;de;falls;floor;instances;keep;performance;polar;presentation;reduce;statement;suited;triangles
item_bb243bdcccf50f08,the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the,alongside;commandline;de;every;identifiers;keep;performance;polar;presentation;reduce;statement;suited;triangles
item_89b0aa9384456255,the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the,action;alongside;commandline;de;every;identifiers;keep;performance;polar;produced;reduce;statement;triangles
item_039df3a25b1a48ca,the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the,action;alongside;commandline;currencies;de;floor;keep;performance;produced;reduce;statement;suited;triangles
item_5b2c429a36a05ec8,integers integers integers integers integers integers integers integers integers integers integers integers integers integers integers integers integers integers integers integers integers integers integers integers integers integers integers integers integers integers integers integers integers integers integers integers integers integers integers integers integers integers integers integers integers integers integers integers integers integers integers integers integers integers,action;commandline;comparing;de;every;instances;keep;performance;presentation;recall;reduce;statement;suited
item_f22dab78a1aa7199,12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12,action;commandline;de;every;flag;identifiers;keep;performance;presentation;reduce;related;relying;statement
item_19515b73c17a3a9c,tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools,action;calculating;commandline;de;keep;modulo;nine;performance;polar;presentation;reduce;reflects;statement
item_c1858606b521d5ae,tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools tools,action;commandline;de;floor;keep;performance;polar;presentation;reduce;reflects;statement;suited;toward
item_d2700dd361e03360,with with with with with with with with with with with with with with with with with with with with with with with with with with with with with with with with with with with with with with with with with with with with with with with with with with with with with with,action;alongside;commandline;de;identifiers;keep;nine;performance;polar;presentation;reduce;statement;summary
item_bf36cda7de80789e,the the the the the the the the the the the html html html html html html html html html html html html html html html html html html html html html html html html html html html html html html html html html html html html html html html html html html html,action;alongside;commandline;de;every;keep;linear;performance;polar;reduce;statement;template;triangles
item_1e87018f2ec12e26,the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the,action;commandline;de;keep;modulo;performance;presentation;reduce;reflects;related;statement;suited;toward
item_7bc1f57d254ec22b,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,action;commandline;de;identifiers;keep;performance;polar;presentation;reduce;related;relying;statement;toward
item_01a56ed01daa674c,stability stability stability stability stability stability stability stability stability stability stability stability stability stability stability stability stability stability stability stability stability stability stability stability stability stability stability stability stability stability stability stability stability stability stability stability stability stability stability stability stability stability stability stability stability stability stability stability stability stability stability stability stability stability,alongside;commandline;de;equals;identifiers;keep;performance;polar;produced;real;recall;reduce;statement
item_2ab387231c1bdb27,the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the,action;commandline;currencies;de;keep;modulo;performance;polar;presentation;reduce;related;statement;suited
item_4f6017735b1f7271,digit digit digit digit digit digit digit digit the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the,action;commandline;de;keep;nine;performance;polar;presentation;produced;recall;reduce;statement;triangles
item_26ebc1f0854f58ce,the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the,action;calculating;commandline;de;every;identifiers;keep;performance;polar;presentation;reduce;statement;triangles
item_3aa2628cf72931af,limit limit limit limit limit limit limit limit limit limit limit limit limit limit limit limit limit limit limit limit limit limit limit limit limit limit limit limit limit limit limit limit limit limit limit limit limit limit limit limit limit limit limit limit limit limit limit limit limit limit limit limit limit limit,alongside;commandline;de;every;identifiers;keep;performance;polar;presentation;reduce;related;statement;suited
item_cd28dac618c6a41a,the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the,alongside;calculating;commandline;de;every;performance;produced;recall;reduce;related;statement;suited;triangles
